,row,col,change,rc
354,15,7,1.0573448096885814,a15b7
355,15,8,1.0586768166089964,a15b8
356,15,9,1.0599131487889273,a15b9
357,15,10,1.0610359861591696,a15b10
358,15,11,1.0620743079584773,a15b11
359,15,12,1.063021366782007,a15b12
360,15,13,1.0638812976184604,a15b13
361,15,14,1.0646565707686118,a15b14
362,15,15,1.0653522200437524,a15b15
363,15,16,1.0659718563770384,a15b16
364,15,17,1.0665160379841028,a15b17
365,15,18,1.0669886678200693,a15b18
366,15,19,1.067391955017301,a15b19
367,15,20,1.0677282871972318,a15b20
368,15,21,1.068003473478043,a15b21
369,15,22,1.0682040657439447,a15b22
370,15,23,1.068345328719723,a15b23
371,15,24,1.0684257785467128,a15b24
372,15,25,1.068442474048443,a15b25
373,15,26,1.068398096885813,a15b26
374,15,27,1.0682919550173011,a15b27
375,15,28,1.0681225778546715,a15b28
376,15,29,1.0678878892733563,a15b29
377,15,30,1.0675887991941753,a15b30
378,15,31,1.0672244851136237,a15b31
379,15,32,1.0667928361611598,a15b32
380,15,33,1.0662885476141575,a15b33
381,15,34,1.0657121241548337,a15b34
382,15,35,1.0652692546272855,a15b35
383,15,36,1.0654403719115078,a15b36
384,15,38,1.063339226170389,a15b38
385,15,39,1.0641442178959128,a15b39
386,16,1,1.0442655114074173,a16b1
387,16,2,1.04356728247836,a16b2
388,16,3,1.045331401384083,a16b3
389,16,4,1.047220588235294,a16b4
390,16,5,1.0489896193771626,a16b5
391,16,6,1.0506410034602076,a16b6
392,16,7,1.0521776816608996,a16b7
393,16,8,1.0536074394463668,a16b8
394,16,9,1.0549303633217995,a16b9
395,16,10,1.0561518166089965,a16b10
396,16,11,1.0572726643598616,a16b11
397,16,12,1.0582994196796798,a16b12
398,16,13,1.0592365730982194,a16b13
399,16,14,1.0600810553633218,a16b14
400,16,15,1.0608445501730104,a16b15
401,16,16,1.0615214532871973,a16b16
402,16,17,1.0621204689623436,a16b17
403,16,18,1.0626403683257948,a16b18
404,16,19,1.0630864740699244,a16b19
405,16,20,1.0634565111704346,a16b20
406,16,21,1.0637546650931418,a16b21
407,16,22,1.0639799418810136,a16b22
408,16,23,1.0641435533788755,a16b23
409,16,24,1.0642280737669103,a16b24
410,16,25,1.0642482000644118,a16b25
411,16,26,1.0641969160618865,a16b26
412,16,27,1.0640799307958477,a16b27
413,16,28,1.0638930397386408,a16b28
414,16,29,1.063635717902755,a16b29
415,16,30,1.06330286531345,a16b30
416,16,31,1.0629005190311418,a16b31
417,16,32,1.0624228134203348,a16b32
418,16,33,1.0618686851211072,a16b33
419,16,34,1.061237529163138,a16b34
420,16,35,1.0603452634569526,a16b35
421,16,36,1.0582864835837407,a16b36
422,16,37,1.0571871614934225,a16b37
423,16,38,1.05627566528099,a16b38
424,16,39,1.054958276185288,a16b39
425,16,40,1.054680652386872,a16b40
426,17,2,1.0380273775490414,a17b2
427,17,3,1.0393499502751304,a17b3
428,17,4,1.041339099535681,a17b4
429,17,5,1.0432053748248606,a17b5
